month,index
2015-01-01,2.809032258
2015-02-01,-4.805357143
2015-03-01,22.54032258
2015-04-01,17.84733333
2015-05-01,-4.51516129
2015-06-01,16.087
2015-07-01,-37.69516129
2015-08-01,-26.4383871
2015-09-01,-37.18966667
2015-10-01,-26.00967742
2015-11-01,10.81033333
2015-12-01,6.179354839
2016-01-01,-5.317741935
2016-02-01,-8.672068966
2016-03-01,-0.044193548
2016-04-01,4.029333333
2016-05-01,1.621290323
2016-06-01,-13.176
2016-07-01,26.79903226
2016-08-01,-6.613870968
2016-09-01,-8.578666667
2016-10-01,-8.438064516
2016-11-01,-11.75166667
2016-12-01,-2.936129032
2017-01-01,-0.494516129
2017-02-01,-1.988928571
2017-03-01,2.959677419
2017-04-01,7.295333333
2017-05-01,-6.210322581
2017-06-01,9.293333333
2017-07-01,4.681290323
2017-08-01,-28.07193548
2017-09-01,-15.57266667
2017-10-01,5.400967742
2017-11-01,-6.356333333
2017-12-01,4.650967742
2018-01-01,-8.383870968
2018-02-01,-6.285357143
2018-03-01,-6.48516129
2018-04-01,4.171
2018-05-01,5.491935484
2018-06-01,-1.925333333
2018-07-01,16.46903226
2018-08-01,-14.13290323
2018-09-01,-20.846
2018-10-01,-21.80322581
2018-11-01,11.02266667
2018-12-01,-0.077741935
2019-01-01,-3.668709677
2019-02-01,0.095357143
2019-03-01,-3.355806452
2019-04-01,-1.312
2019-05-01,3.117741935
2019-06-01,-28.806
2019-07-01,7.821612903
2019-08-01,36.29129032
2019-09-01,36.209
2019-10-01,5.586451613
2019-11-01,1.563333333
2019-12-01,5.868387097
2020-01-01,10.55645161
2020-02-01,-7.529655172
2020-04-01,7.59
2020-05-01,-5.262
2020-06-01,0.207741935
2020-07-01,19.85566667
2020-08-01,1.969354839
2020-09-01,21.9590625
2020-10-01,-7.654
2020-11-01,-1.848709677
2020-12-01,-4.340333333
2021-01-01,4.49625
2021-02-01,7.77875
2021-03-01,-8.734642857
2021-04-01,-6.286129032
2021-05-01,-2.735333333
2021-06-01,21.17967742
2021-07-01,18.56483871
2021-08-01,-22.476875
2021-09-01,-34.88387097
2021-10-01,17.92966667
2021-11-01,15.33290323
2021-12-01,15.294
2022-01-01,5.069032258
2022-02-01,12.27
2022-03-01,0.138214286
2022-04-01,-10.95483871
2022-05-01,11.794
2022-06-01,17.848125
2022-07-01,-11.272
2022-08-01,19.28064516
2022-09-01,3.581290323
2022-10-01,-5.441333333
2022-11-01,31.82419355
2022-12-01,-3.995
2023-01-01,0.431935484
2023-02-01,-7.201612903
2023-03-01,-7.281785714
2023-04-01,-0.97
2023-05-01,-1.825
2023-06-01,2.321290323
2023-07-01,-31.486
2023-08-01,17.52612903
2023-09-01,-65.0396875
2023-10-01,-18.975
2023-11-01,-16.2696875
2023-12-01,-0.41
2024-01-01,13.67612903
2024-02-01,-3.741935484
2024-03-01,-0.504827586
2024-04-01,2.148064516
2024-05-01,-6.434333333
2024-06-01,-4.588
2024-07-01,-8.743939394
2024-08-01,23.12366667
2024-09-01,26.4246875
2024-10-01,-2.901290323
2024-11-01,-3.69
2024-12-01,-8.504333333
2025-01-01,6.972580645
